trade_id,symbol,entry_time,entry_price,exit_time,exit_price,pnl,exit_reason,strategy_id,ai_confidence_score
N/A,RELIANCE,2025-09-01 14:22:59.532967,1000.0,2025-09-01 14:22:59.537032,1000.0,0.0,target_profit,hard_target,0
N/A,RELIANCE,2025-09-01 14:22:59.532967,1000.0,2025-09-01 14:22:59.540775,1010.0,1000.0,target_profit,hard_target,0
N/A,RELIANCE,2025-09-01 14:22:59.532967,1000.0,2025-09-01 14:22:59.542852,1020.0,2000.0,target_profit,hard_target,0
N/A,RELIANCE,2025-09-01 14:22:59.532967,1000.0,2025-09-01 14:22:59.543892,1030.0,3000.0,target_profit,hard_target,0
N/A,RELIANCE,2025-09-01 14:22:59.532967,1000.0,2025-09-01 14:22:59.544901,1040.0,4000.0,target_profit,hard_target,0
N/A,RELIANCE,2025-09-01 14:22:59.532967,1000.0,2025-09-01 14:22:59.547024,1050.0,5000.0,target_profit,hard_target,0
N/A,TCS,2025-09-01 14:22:59.720262,500.0,2025-09-01 14:22:59.722374,475.4124192696653,-2458.7580730334707,trend_flip,trend_flip,0
N/A,TCS,2025-09-01 14:22:59.724442,500.0,2025-09-01 14:22:59.724442,475.4124192696653,2458.7580730334707,trend_flip,trend_flip,0
N/A,TCS,2025-09-01 14:23:01.471298,500.0,2025-09-01 14:23:01.473826,475.4124192696653,-2458.7580730334707,trend_flip,trend_flip,0
N/A,RELIANCE,2025-09-01 14:25:22.543042,1000.0,2025-09-01 14:25:22.546510,1000.0,0.0,target_profit,hard_target,0
N/A,RELIANCE,2025-09-01 14:25:22.543042,1000.0,2025-09-01 14:25:22.550617,1010.0,1000.0,target_profit,hard_target,0
N/A,RELIANCE,2025-09-01 14:25:22.543042,1000.0,2025-09-01 14:25:22.551814,1020.0,2000.0,target_profit,hard_target,0
N/A,RELIANCE,2025-09-01 14:25:22.543042,1000.0,2025-09-01 14:25:22.553321,1030.0,3000.0,target_profit,hard_target,0
N/A,RELIANCE,2025-09-01 14:25:22.543042,1000.0,2025-09-01 14:25:22.554328,1040.0,4000.0,target_profit,hard_target,0
N/A,RELIANCE,2025-09-01 14:25:22.543042,1000.0,2025-09-01 14:25:22.555367,1050.0,5000.0,target_profit,hard_target,0
N/A,TCS,2025-09-01 14:25:22.735995,500.0,2025-09-01 14:25:22.739183,475.4124192696653,-2458.7580730334707,trend_flip,trend_flip,0
N/A,TCS,2025-09-01 14:25:22.740237,500.0,2025-09-01 14:25:22.740237,475.4124192696653,2458.7580730334707,trend_flip,trend_flip,0
N/A,TCS,2025-09-01 14:25:24.616171,500.0,2025-09-01 14:25:24.617209,475.4124192696653,-2458.7580730334707,trend_flip,trend_flip,0
N/A,RELIANCE,2025-09-01 14:28:47.868371,1000.0,2025-09-01 14:28:47.870510,1000.0,0.0,target_profit,hard_target,0
N/A,RELIANCE,2025-09-01 14:28:47.868371,1000.0,2025-09-01 14:28:47.871507,1010.0,1000.0,target_profit,hard_target,0
N/A,RELIANCE,2025-09-01 14:28:47.868371,1000.0,2025-09-01 14:28:47.872504,1020.0,2000.0,target_profit,hard_target,0
N/A,RELIANCE,2025-09-01 14:28:47.868371,1000.0,2025-09-01 14:28:47.873502,1030.0,3000.0,target_profit,hard_target,0
N/A,RELIANCE,2025-09-01 14:28:47.868371,1000.0,2025-09-01 14:28:47.874499,1040.0,4000.0,target_profit,hard_target,0
N/A,RELIANCE,2025-09-01 14:28:47.868371,1000.0,2025-09-01 14:28:47.875497,1050.0,5000.0,target_profit,hard_target,0
N/A,TCS,2025-09-01 14:28:48.021867,500.0,2025-09-01 14:28:48.023981,475.4124192696653,-2458.7580730334707,trend_flip,trend_flip,0
N/A,TCS,2025-09-01 14:28:48.025056,500.0,2025-09-01 14:28:48.026067,475.4124192696653,2458.7580730334707,trend_flip,trend_flip,0
N/A,TCS,2025-09-01 14:28:49.600092,500.0,2025-09-01 14:28:49.601089,475.4124192696653,-2458.7580730334707,trend_flip,trend_flip,0
N/A,RELIANCE,2025-09-01 14:29:55.740683,1000.0,2025-09-01 14:29:55.742823,1000.0,0.0,target_profit,hard_target,0
N/A,RELIANCE,2025-09-01 14:29:55.740683,1000.0,2025-09-01 14:29:55.744125,1010.0,1000.0,target_profit,hard_target,0
N/A,RELIANCE,2025-09-01 14:29:55.740683,1000.0,2025-09-01 14:29:55.745122,1020.0,2000.0,target_profit,hard_target,0
N/A,RELIANCE,2025-09-01 14:29:55.740683,1000.0,2025-09-01 14:29:55.746285,1030.0,3000.0,target_profit,hard_target,0
N/A,RELIANCE,2025-09-01 14:29:55.740683,1000.0,2025-09-01 14:29:55.747433,1040.0,4000.0,target_profit,hard_target,0
N/A,RELIANCE,2025-09-01 14:29:55.740683,1000.0,2025-09-01 14:29:55.748435,1050.0,5000.0,target_profit,hard_target,0
